Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
MURIT PHARMACY,8.4599325,4.5364971,Secondary,699.1955565,Nigeria,High Performer
SOFZAT,8.4613603,4.5798827,Secondary,318.035235,Nigeria,Low Performer
RAYON PHARMACY,8.4614228,4.5193364,Secondary,944.288163,Nigeria,High Performer
CHAMPS,8.4614802,4.5797259,Secondary,821.4868935,Nigeria,High Performer
LADIM PHARMACY,8.4615014,4.5191494,Secondary,599.1702255,Nigeria,High Performer
CORDILIA PHARMACY,8.4616384,4.5191653,Secondary,564.3219645,Nigeria,Active
BOLAKEM,8.4630831,4.5072611,Secondary,200.839779,Nigeria,Low Performer
FORTUNATE,8.4634178,4.5842863,Secondary,138.620034,Nigeria,Low Performer
peculiar super stores,8.4636266,4.5193603,Secondary,94.10799,Nigeria,Low Performer
TOPNOTCH,8.4636852,4.5920124,Secondary,344.6864925,Nigeria,Low Performer
PRESIPHARM,8.4639298,4.5809521,Secondary,74.4542925,Nigeria,Low Performer
jikehmedics store,8.4639303,4.5482699,Secondary,92.31852,Nigeria,Low Performer
BASIN STORES AND PHARMACY,8.4639319,4.5811662,Secondary,0.0,Nigeria,Dead Whitespace
MUMMY GOLD,8.463943,4.549354,Secondary,43.86258,Nigeria,Underperforming
ASSAMADIYA PHARM AND STORES GAMBARI,8.4642713,4.5827562,Secondary,0.0,Nigeria,Dead Whitespace
MIRACLE SUPERMARKET,8.46431,4.5826764,Secondary,0.0,Nigeria,Dead Whitespace
ALHAJA IYA BOLA,8.4644914,4.5437747,Secondary,0.0,Nigeria,Dead Whitespace
CHIMEX COSMETICS AND STORES,8.4645012,4.5438336,Secondary,0.0,Nigeria,Dead Whitespace
A Mini mart,8.4645364,4.5453403,Secondary,177.19916,Nigeria,Low Performer
jamat store,8.4647109,4.5386644,Secondary,108.71926,Nigeria,Low Performer
PHARMACY,8.4647945,4.5300529,Secondary,623.563668,Nigeria,High Performer
yinolu store,8.4649317,4.5439851,Secondary,868.06792,Nigeria,High Performer
Adonai store,8.4652353,4.5379281,Secondary,171.147,Nigeria,Low Performer
LOJUS PHARMACY AND STORES,8.4657266,4.5173149,Secondary,0.0,Nigeria,Dead Whitespace
YETUNDE,8.4664171,4.5746287,Secondary,412.865838,Nigeria,Low Performer
DEMOL PHARMACY & STORES,8.466501,4.5745063,Secondary,0.0,Nigeria,Dead Whitespace
GLOBAL,8.4665284,4.5743987,Secondary,263.2525245,Nigeria,Low Performer
WOLEX,8.4665648,4.5743273,Secondary,544.4944365,Nigeria,Active
SAHAD,8.4665974,4.5743159,Secondary,379.134483,Nigeria,Low Performer
HARRYMORE STORES AMILEGBE,8.4669754,4.5244795,Secondary,0.0,Nigeria,Dead Whitespace
ZAYAB,8.46701,4.5736998,Secondary,585.4186485,Nigeria,High Performer
ARABELLA COSMETICS,8.4670658,4.5735,Secondary,0.0,Nigeria,Dead Whitespace
HANU OLU STORES,8.4670676,4.5244491,Secondary,0.0,Nigeria,Dead Whitespace
TRIPPLE S MULTI VENTURES,8.4671016,4.5736929,Secondary,0.0,Nigeria,Dead Whitespace
AMMARSH,8.4673491,4.5116377,Secondary,273.3964695,Nigeria,Low Performer
kaftty store,8.4674406,4.5348087,Secondary,254.97342,Nigeria,Low Performer
El shadai store,8.4675738,4.534814,Secondary,147.86038,Nigeria,Low Performer
Al Hasan store,8.4675789,4.5348134,Secondary,325.60941,Nigeria,Low Performer
Toshana store,8.4675789,4.5348143,Secondary,264.29052,Nigeria,Low Performer
Safuslam provision store,8.4676433,4.5189817,Secondary,98.39691,Nigeria,Low Performer
Bisola best,8.4677072,4.534738,Secondary,181.4355,Nigeria,Low Performer
AJOKE,8.4677995,4.5188375,Secondary,0.0,Nigeria,Dead Whitespace
M&T SUPERMARKET,8.4678033,4.5190158,Secondary,0.0,Nigeria,Dead Whitespace
HARRISON COSMETICS & STORES,8.4678083,4.518947,Secondary,0.0,Nigeria,Dead Whitespace
OMAMS PHARMACY AND STORES,8.467809,4.5190173,Secondary,0.0,Nigeria,Dead Whitespace
I.J.K COSMETICS,8.467823,4.5189726,Secondary,0.0,Nigeria,Dead Whitespace
CLASSIC LADY SUPERMARKET,8.467827,4.5190263,Secondary,0.0,Nigeria,Dead Whitespace
AL HASSAN MED STORES,8.4678305,4.5190327,Secondary,0.0,Nigeria,Dead Whitespace
YINOLUWA STORES 2,8.4678311,4.5189853,Secondary,0.0,Nigeria,Dead Whitespace
ALAHJA IYA GAA STORE,8.467841,4.5189756,Secondary,0.0,Nigeria,Dead Whitespace
FAVOUR STORE,8.4678411,4.5190254,Secondary,16.8,Nigeria,Underperforming
NONSO COSMETICS STORES 1,8.4678701,4.5190236,Secondary,0.0,Nigeria,Dead Whitespace
ACE SUPERMARKET ILORIN,8.4678763,4.518974,Secondary,0.0,Nigeria,Dead Whitespace
UGOVIN COSMETICS,8.4678781,4.5188001,Secondary,0.0,Nigeria,Dead Whitespace
